Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,treatment,uniqueID
15,orange,Ferris,6.841,,,2017-10-05,2017-09-25,4,Haw,6262,24:33:24,0.883836,5.297,,10:11:10,0.3410544,,,,
16,orange,Ferris,7.067,,,2017-10-05,2017-09-25,4,Haw,6262,24:34:54,0.903783,6.501,,10:12:37,1.039311,,,,
17,orange,Ferris,8.053,,,2017-10-05,2017-09-25,4,Haw,6262,24:36:25,0.2138813,7.51,,10:14:12,0.1239127,,,,
18,orange,Ferris,10.236,,,2017-10-05,2017-09-25,4,Haw,6262,24:37:44,0.2436844,9.539,,10:15:32,0.1767495,,,,
19,orange,Ferris,7.147,,,2017-10-05,2017-09-25,4,Haw,6262,24:39:07,1.214806,5.758,,10:16:55,0.5124697,,,,
20,orange,Ferris,11.042,,,2017-10-05,2017-09-25,4,Haw,6262,24:40:38,0.2106191,10.362,,10:18:15,0.1970322,,,,
21,orange,Ferris,8.689,,,2017-10-05,2017-09-25,4,Haw,6262,24:42:00,1.330453,6.886,,,,,,,
22,orange,Ferris,11.76,,,2017-10-05,2017-09-25,4,Haw,6262,24:43:24,0.2861986,10.925,,10:21:45,9.65E-02,,,,
23,orange,Ferris,5.371,,,2017-10-05,2017-09-25,4,Haw,6262,24:44:48,1.208484,4.254,,10:23:01,1.372774,,,,
24,orange,Ferris,7.481,,,2017-10-05,2017-09-25,4,Haw,6262,24:46:17,1.157779,6.893,,10:24:33,1.135423,,,,
25,orange,Ferris,10.121,,,2017-10-05,2017-09-25,4,Haw,6262,24:47:55,1.634524,8.693,,10:25:54,0.2948752,,,,
26,orange,Blank,,,,2017-10-05,2017-09-25,4,Haw,6262,24:49:35,2.54E-02,,,10:27:16,2.42E-02,,,,
27,orange,Blank,,15:05,,2017-10-05,2017-09-25,4,Haw,6262,24:50:41,2.42E-02,,11:55,10:28:20,2.41E-02,,,,
1,orange,Ferris,7.602,14:12,,2017-10-06,2017-09-26,5,Haw,6262,17:39:39,0.1730717,6.975,14:35,9:52:23,0.117548,,,,
2,orange,Ferris,12.347,,,2017-10-06,2017-09-26,5,Haw,6262,17:41:12,2.389091,11.371,,9:54:18,1.727416,,,,
3,orange,Ferris,8.476,,,2017-10-06,2017-09-26,5,Haw,6262,17:43:04,0.2243357,7.862,,9:56:01,0.1624948,,,,
4,orange,Ferris,9.895,,,2017-10-06,2017-09-26,5,Haw,6262,17:44:53,0.2553465,9.315,,9:57:25,0.1308333,,,,
