Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2
9,orange,Grant,10.414,17:34,2017-09-05,2017-08-26,3,Apple,7000,9:25:16,0.7386541,7.517,,8:03:15,0.363935,,"looks unhealthy, large weight decrease",3o9,,,,,,,,,
10,orange,Grant,7.27,17:34,2017-09-05,2017-08-26,3,Apple,7000,9:26:48,0.5919609,6.77,,8:04:34,0.5568005,,,3o10,,,,,,,,,
11,orange,Grant,9.005,17:34,2017-09-05,2017-08-26,3,Apple,7000,9:28:26,0.0823172,8.335,,8:05:53,5.14E-02,,,3o11,,,,,,,,,
12,orange,Grant,7.24,17:33,2017-09-05,2017-08-26,3,Apple,7000,9:30:13,5.56E-02,6.644,,8:07:09,3.64E-02,,,3o12,,,,,,,,,
13,orange,Grant,8.865,17:33,2017-09-05,2017-08-26,3,Apple,7000,9:31:37,6.70E-02,8.093,,8:08:23,9.18E-02,,,3o13,,,,,,,,,
14,orange,Grant,7.353,17:33,2017-09-05,2017-08-26,3,Apple,7000,9:32:52,6.44E-02,6.764,,8:09:39,8.25E-02,,,3o14,,,,,,,,,
15,orange,Grant,7.337,17:33,2017-09-05,2017-08-26,3,Apple,7000,9:34:10,5.52E-02,6.71,,8:10:56,3.98E-02,,,3o15,,,,,,,,,
16,orange,Grant,7.123,17:32,2017-09-05,2017-08-26,3,Apple,7000,9:35:31,0.6377392,6.308,,8:12:21,0.5492268,,,3o16,,,,,,,,,
17,orange,Grant,9.748,17:32,2017-09-05,2017-08-26,3,Apple,7000,9:37:04,0.1237543,9.081,,8:13:38,0.1010693,,,3o17,,,,,,,,,
18,orange,Grant,7.339,17:31,2017-09-05,2017-08-26,3,Apple,7000,9:38:22,0.585816,6.812,,8:14:39,0.5810983,,,3o18,,,,,,,,,
19,orange,Grant,6.921,17:31,2017-09-05,2017-08-26,3,Apple,7000,9:39:47,0.0782489,6.187,,8:15:56,8.22E-02,,,3o19,,,,,,,,,
20,orange,Grant,6.639,17:31,2017-09-05,2017-08-26,3,Apple,7000,9:41:28,0.1186885,,,,,,"smashed, removed",3o20,,,,,,,,,
21,orange,Grant,7.676,17:30,2017-09-05,2017-08-26,3,Apple,7000,9:42:51,6.66E-02,7.22,,8:17:16,5.84E-02,,,3o21,,,,,,,,,
22,orange,Grant,8.801,17:30,2017-09-05,2017-08-26,3,Apple,7000,9:44:11,0.7846344,8.079,,8:20:09,0.7263911,,,3o22,,,,,,,,,
23,orange,Grant,7.129,17:30,2017-09-05,2017-08-26,3,Apple,7000,9:45:30,6.01E-02,6.561,,8:22:05,4.46E-02,,,3o23,,,,,,,,,
24,orange,Grant,9.224,17:29,2017-09-05,2017-08-26,3,Apple,7000,9:46:55,7.48E-02,8.382,,8:23:24,4.88E-02,,,3o24,,,,,,,,,
25,orange,Grant,6.509,17:29,2017-09-05,2017-08-26,3,Apple,7000,9:48:09,7.45E-02,5.998,,8:24:32,6.82E-02,,,3o25,,,,,,,,,
26,orange,Grant,7.187,17:28,2017-09-05,2017-08-26,3,Apple,7000,9:49:41,0.4412236,4.454,,8:25:52,0.3236653,,"looks unhealthy, large weight decrease",3o26,,,,,,,,,
27,orange,Grant,8.317,17:28,2017-09-05,2017-08-26,3,Apple,7000,9:50:58,0.5781513,7.677,,8:27:45,0.588869,,,3o27,,,,,,,,,
28,orange,Grant,6.223,17:28,2017-09-05,2017-08-26,3,Apple,7000,9:52:21,7.87E-02,5.622,,8:28:56,5.52E-02,,,3o28,,,,,,,,,
29,orange,Grant,8.311,17:27,2017-09-05,2017-08-26,3,Apple,7000,9:54:01,0.7416357,7.602,,8:30:04,0.6912003,,"extra pupae in syringe, removed",3o29,,,,,,,,,
30,orange,Grant,7.496,17:27,2017-09-05,2017-08-26,3,Apple,7000,9:55:47,6.22E-02,6.936,,8:31:12,4.77E-02,,,3o30,,,,,,,,,
31,orange,Grant,9.142,17:27,2017-09-05,2017-08-26,3,Apple,7000,9:57:18,7.17E-02,8.115,,8:32:30,6.58E-02,,,3o31,,,,,,,,,
32,orange,Grant,7.273,17:26,2017-09-05,2017-08-26,3,Apple,7000,9:58:42,0.1178349,6.665,,8:33:55,5.63E-02,,,3o32,,,,,,,,,
33,orange,Grant,11.64,17:26,2017-09-05,2017-08-26,3,Apple,7000,10:00:03,0.0940177,10.766,,8:35:00,8.41E-02,,,3o33,,,,,,,,,
34,orange,Grant,8.93,17:26,2017-09-05,2017-08-26,3,Apple,7000,10:01:30,8.59E-02,8.193,,8:36:07,4.44E-02,,,3o34,,,,,,,,,
35,orange,Grant,6.876,17:25,2017-09-05,2017-08-26,3,Apple,7000,10:02:49,6.43E-02,6.483,,8:37:14,9.20E-02,,,3o35,,,,,,,,,
36,orange,Grant,9.334,17:25,2017-09-05,2017-08-26,3,Apple,7000,10:04:27,0.8716796,,,,,,"smashed, removed",3o36,,,,,,,,,
37,orange,Grant,6.487,17:24,2017-09-05,2017-08-26,3,Apple,7000,10:06:07,8.60E-02,6.042,,8:38:19,5.52E-02,,,3o37,,,,,,,,,
38,orange,Ferris,7.319,17:23,2017-09-05,2017-08-26,3,Apple,7000,10:09:01,8.98E-02,7.21,,8:40:19,5.06E-02,,,3o38,,,,,,,,,
39,orange,Ferris,7.829,17:22,2017-09-05,2017-08-26,3,Apple,7000,10:10:32,5.41E-02,7.265,,8:42:36,5.13E-02,,,3o39,,,,,,,,,
40,orange,Ferris,7.376,17:21,2017-09-05,2017-08-26,3,Apple,7000,10:11:52,9.67E-02,7.206,,8:44:07,3.73E-02,,,3o40,,,,,,,,,
41,orange,Ferris,8.723,17:21,2017-09-05,2017-08-26,3,Apple,7000,10:13:10,0.1611778,8.142,,8:45:32,0.1208888,,,3o41,,,,,,,,,
42,orange,Ferris,6.144,17:21,2017-09-05,2017-08-26,3,Apple,7000,10:14:27,6.77E-02,5.706,,8:46:48,5.17E-02,,,3o42,,,,,,,,,
43,orange,Ferris,7.239,17:20,2017-09-05,2017-08-26,3,Apple,7000,10:15:43,0.1957155,6.806,,8:47:55,8.59E-02,,,3o43,,,,,,,,,
44,orange,Ferris,11.208,17:20,2017-09-05,2017-08-26,3,Apple,7000,10:17:05,0.3452485,9.385,,8:49:05,0.1105348,,,3o44,,,,,,,,,
45,orange,Ferris,6.434,17:20,2017-09-05,2017-08-26,3,Apple,7000,10:18:22,4.44E-02,6.018,,8:50:12,2.66E-02,,,3o45,,,,,,,,,
46,orange,Ferris,10.91,17:19,2017-09-05,2017-08-26,3,Apple,7000,10:19:35,9.62E-02,10.285,,8:51:58,4.34E-02,,,3o46,,,,,,,,,
47,orange,Ferris,7.145,17:19,2017-09-05,2017-08-26,3,Apple,7000,10:20:51,4.58E-02,6.654,,8:53:23,5.08E-02,,,3o47,,,,,,,,,
48,orange,Ferris,6.731,17:19,2017-09-05,2017-08-26,3,Apple,7000,10:22:28,5.80E-02,6.171,,8:54:39,6.74E-02,,,3o48,,,,,,,,,
49,orange,Ferris,7.325,17:18,2017-09-05,2017-08-26,3,Apple,7000,10:23:41,6.73E-02,6.906,,8:55:40,6.98E-02,,,3o49,,,,,,,,,
50,orange,Ferris,4.993,17:18,2017-09-05,2017-08-26,3,Apple,7000,10:25:02,6.23E-02,4.693,,8:56:58,4.41E-02,,,3o50,,,,,,,,,
51,orange,Ferris,7.625,16:54,2017-09-05,2017-08-26,3,Apple,7000,10:26:14,0.591032,7.034,,8:58:49,0.0605445,,,3o51,,,,,,,,,
52,orange,Ferris,10.052,16:53,2017-09-05,2017-08-26,3,Apple,7000,10:27:38,0.1148018,3.828,,8:59:55,1.57E-02,,,3o52,,,,,,,,,
53,orange,Ferris,7.881,16:53,2017-09-05,2017-08-26,3,Apple,7000,10:29:14,9.68E-02,7.303,,9:01:15,4.62E-02,,,3o53,,,,,,,,,
54,orange,Ferris,7.236,16:52,2017-09-05,2017-08-26,3,Apple,7000,10:30:20,0.1055736,6.657,,9:02:26,7.86E-02,,,3o54,,,,,,,,,
55,orange,Ferris,8.561,16:52,2017-09-05,2017-08-26,3,Apple,7000,10:31:38,4.38E-02,8.406,,9:03:37,7.47E-02,,,3o55,,,,,,,,,
56,orange,Ferris,10.727,16:51,2017-09-05,2017-08-26,3,Apple,7000,10:32:50,6.33E-02,10.33,,9:05:03,4.43E-02,,,3o56,,,,,,,,,
57,orange,Ferris,7.468,16:50,2017-09-05,2017-08-26,3,Apple,7000,10:34:20,0.2463233,7.018,,9:06:14,7.95E-02,,,3o57,,,,,,,,,
58,orange,Ferris,6.873,16:50,2017-09-05,2017-08-26,3,Apple,7000,10:35:48,2.15E-02,6.56,,9:07:22,4.42E-02,,,3o58,,,,,,,,,
59,orange,blank,,16:49,2017-09-05,2017-08-26,3,Apple,7000,10:37:03,1.03E-02,,,9:08:39,8.88E-03,,,3o59,,,,,,,,,
60,orange,blank,,16:49,2017-09-05,2017-08-26,3,Apple,7000,10:38:03,8.71E-04,,14:51,9:09:54,8.81E-03,,,3o60,,,,,,,,,
