Host,Sample,N,tape,licor,cohort_day,cohort_date,day_weight,day_resp,weight,Respiration,Respiration_time,Purge_time
Apple,e,14,orange,6262,5,9/4/18,19,20,4.101,9.97E-02,10:29:46,
Apple,e,15,orange,6262,5,9/4/18,19,20,6.296,0.1239735,10:30:59,
Apple,e,16,orange,6262,5,9/4/18,19,20,5.411,0.7827498,10:32:20,
Apple,e,17,orange,6262,5,9/4/18,19,20,2.517,2.29E-02,10:33:47,
Apple,e,18,orange,6262,5,9/4/18,19,20,4.808,0.8126568,10:34:59,
Apple,e,19,orange,6262,5,9/4/18,19,20,4.609,0.879393,10:36:29,
Apple,b,20,orange,6262,5,9/4/18,19,20,,3.55E-03,10:37:54,
Apple,b,21,orange,6262,5,9/4/18,19,20,,0.0165469,10:38:49,12:38
Apple,e,1,red,7000,6,9/5/18,19,20,4.787,6.91E-02,9:04:08,13:34
Apple,e,2,red,7000,6,9/5/18,19,20,7.061,6.40E-02,9:05:16,
Apple,e,3,red,7000,6,9/5/18,19,20,7.002,0.7030002,9:06:25,
Apple,e,4,red,7000,6,9/5/18,19,20,5.569,5.34E-02,9:07:38,
Apple,e,5,red,7000,6,9/5/18,19,20,6.527,2.41E-02,9:09:15,
