"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","X","X.1","rando_assign","uniqueID"
"124",49,"blue","Grant",8.346,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b49"
"125",50,"blue","Ferris",13.039,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b50"
"126",51,"blue","Ferris",7.154,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b51"
"127",52,"blue","Grant",9.974,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b52"
"128",53,"blue","Milford",7.891,"","2017-08-07","2017-08-28",5,"Haw",NA,NA,"genetic control","5b53"
"129",54,"blue","Ferris",10.037,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b54"
"130",55,"blue","Milford",10.513,"","2017-08-07","2017-08-28",5,"Haw",NA,NA,"RT eclosion","5b55"
"131",56,"blue","Ferris",4.566,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b56"
"132",57,"blue","Grant",6.305,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b57"
"133",58,"blue","Ferris",9.655,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b58"
"134",59,"blue","Grant",5.701,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b59"
"135",60,"blue","Ferris",6.856,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b60"
"136",61,"blue","Ferris",6.457,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b61"
"137",62,"blue","Ferris",9.676,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b62"
"138",63,"blue","Grant",5.746,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b63"
"139",64,"blue","Ferris",6.818,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b64"
"140",65,"blue","Milford",12.887,"","2017-08-07","2017-08-28",5,"Haw",NA,NA,"RT eclosion","5b65"
"141",66,"blue","Grant",5.062,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b66"
"142",67,"blue","Ferris",11.138,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b67"
"143",68,"blue","Grant",9.854,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b68"
"144",69,"blue","Milford",8.468,"","2017-08-07","2017-08-28",5,"Haw",NA,NA,"Simulated Overwintering","5b69"
"145",70,"blue","Ferris",6.771,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b70"
"146",71,"blue","Grant",6.058,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b71"
"147",72,"blue","Ferris",6.278,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b72"
"148",73,"blue","Grant",7.02,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b73"
"149",74,"blue","Grant",3.893,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b74"
"150",75,"blue","Ferris",6.558,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b75"
