uniqueID,experiment,V1,V2,V3,V4
4o21,free run,7.6844262295082,6.03540772532189,6.11413043478261,7.76933701657459
4o5,entrainment,12,6.10169491525424,5.9016393442623,8
4o5,free run,20.9888059701493,16.5441176470588,15.625,12.2282608695652
4o55,entrainment,8,19.6363636363636,6,13.5
4o55,free run,21.8181818181818,11.0769230769231,24,6.3716814159292
4o7,entrainment,24,6.66666666666667,7.5,36
4o7,free run,6.25,6.08108108108108,5.35714285714286,7.03125
4o76,entrainment,6.04838709677419,7.97872340425532,8.15217391304348,10.7142857142857
4o76,free run,20.5714285714286,6.08450704225352,7.02439024390244,5.14285714285714
4w27,entrainment,11.9117647058824,8.1,5.95588235294118,5.78571428571429
4w27,free run,162,11.5714285714286,10.8,11.3023255813953
4w30,entrainment,9,10.2857142857143,9.39130434782609,6.54545454545455
4w30,free run,12.2033898305085,7.74193548387097,18.4615384615385,22.5
4w55,entrainment,11.7647058823529,5.71428571428571,6.06060606060606,10.5263157894737
4w55,free run,75,7.5,6.08108108108108,8.65384615384616
4w66,entrainment,23.4375,11.3636363636364,12.0967741935484,26.7857142857143
4w66,free run,53.5714285714286,41.6666666666667,12.0967741935484,6.81818181818182
4w76,entrainment,6.66666666666667,6.45161290322581,5.88235294117647,10
4w76,free run,23.3653846153846,7.48152709359606,9.92647058823529,6.632096069869
5b11,entrainment,8.1,20.25,18,15.4285714285714
5b11,free run,8.08189655172414,8.03571428571429,12.1228448275862,6.03540772532189
5b24,entrainment,11.5714285714286,6.23076923076923,7.36363636363636,7.90243902439024
5b24,free run,10.6813186813187,11.710843373494,12,11.1724137931034
5b31,entrainment,5.55555555555556,8.33333333333333,5,
5b31,free run,11.6756756756757,24.6857142857143,11.3684210526316,26.1818181818182
5b34,entrainment,8.1,10.8,7.71428571428571,8.30769230769231
5b34,free run,22.5,21.6964285714286,11.4622641509434,12.65625
5w2,entrainment,8.69565217391304,9.09090909090909,6.06060606060606,8
5w2,free run,19.9180327868852,33.75,21.6964285714286,18.6923076923077
5w22,entrainment,6.48,5.4,5.49152542372881,5.14285714285714
5w22,free run,21.97265625,6.54069767441861,21.3068181818182,9.25164473684211
5w30,entrainment,12,6,11.3684210526316,5.02325581395349
5w30,free run,8.08080808080808,21.3333333333333,28.0701754385965,6.4
5w4,entrainment,6.11320754716981,8.1,9,6
5w4,free run,20.25,7.36363636363636,7.90243902439024,5.28979591836735
5w42,entrainment,6.94444444444445,5.51470588235294,7.21153846153846,5.68181818181818
5w42,free run,6.25,5.55555555555556,5,
5w57,entrainment,12,7.82608695652174,9.47368421052632,5.625
5w57,free run,22.1311475409836,21.7741935483871,11.0655737704918,5.21235521235521
5w63,entrainment,12,6.96774193548387,5.68421052631579,16.6153846153846
5w63,free run,21.8181818181818,11.1627906976744,10.9090909090909,17.7777777777778
5w69,entrainment,23.1428571428571,12,6.11320754716981,10.8
5w69,free run,23.4375,12.1228448275862,21.97265625,11.8172268907563
5w73,entrainment,21.6,6.75,8.30769230769231,6.54545454545455
5w73,free run,24,20.5714285714286,22.5,11.25
h2b12,entrainment,12,6,6.17142857142857,12.7058823529412
h2b12,free run,6.25,5.76923076923077,5.35714285714286,7.5
h2b25,entrainment,8,6.06060606060606,5.26315789473684,7.40740740740741
h2b25,free run,24.3,32.1617647058824,21.87,8.04044117647059
h2r23,entrainment,12.5,20,33.3333333333333,11.1111111111111
h2r23,free run,25,11.1111111111111,10,6.66666666666667
h2r29,entrainment,8,11.6363636363636,7.75757575757576,6.0952380952381
h2r29,free run,22.9779411764706,22.3214285714286,23.6742424242424,97.65625
h4o17,entrainment,12,6.17142857142857,5.4,9.81818181818182
h4o17,free run,6.28448275862069,6.45132743362832,9.85135135135135,5.4
h4o4,entrainment,5.55555555555556,,,
h4o4,free run,30.6818181818182,28.125,24.1071428571429,18.75
h4w10,entrainment,8,5.83783783783784,6,8.64
h4w10,free run,21.09375,16.156914893617,5.58363970588235,17.2585227272727
h4w8,entrainment,22.2222222222222,6.06060606060606,8,10.5263157894737
h4w8,free run,8.82352941176471,6.81818181818182,6,9.375
h5o22,entrainment,21.6,8,6.17142857142857,6
h5o22,free run,5.56930693069307,12.2282608695652,6.61764705882353,6.04838709677419
h7o51,entrainment,8.15217391304348,7.8125,6.25,6.04838709677419
h7o51,free run,6.69642857142857,7.27370689655172,24.1071428571429,36.6847826086957
h8o12,entrainment,12,12.7058823529412,6,7.2
h8o12,free run,22.78125,17.7804878048781,9.5921052631579,9.46753246753247
h8o14,entrainment,12,11.3684210526316,6,8
h8o14,free run,20.2702702702703,22.7272727272727,6.19834710743802,6.04838709677419
h8o16,entrainment,11.9117647058824,8.1,6.13636363636364,9.64285714285714
h8o16,free run,6.28491620111732,5.71065989847716,9,5.92105263157895
h8o5,entrainment,12,6.17142857142857,18,6.96774193548387
h8o5,free run,22.78125,5.17021276595745,8.19101123595506,6.94285714285714
h8w4,entrainment,6.17142857142857,12.7058823529412,8,7.71428571428571
h8w4,free run,21.3333333333333,11.0344827586207,11.2280701754386,20.6451612903226
