read_day,trik_ID,bins,counts,light_status,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_entry_LD_time,trik_cohort,day,time
3,18,5:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,5.5
3,18,6:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,5.75
3,18,6:15,8,0.933333333,5w69,9/26/17,32,A7,fly,16:08,1,7,6
3,18,6:30,15,1,5w69,9/26/17,32,A7,fly,16:08,1,7,6.25
3,18,6:45,15,1,5w69,9/26/17,32,A7,fly,16:08,1,7,6.5
3,18,7:00,7,1,5w69,9/26/17,32,A7,fly,16:08,1,7,6.75
3,18,7:15,12,1,5w69,9/26/17,32,A7,fly,16:08,1,7,7
3,18,7:30,11,1,5w69,9/26/17,32,A7,fly,16:08,1,7,7.25
3,18,7:45,19,1,5w69,9/26/17,32,A7,fly,16:08,1,7,7.5
3,18,8:00,20,1,5w69,9/26/17,32,A7,fly,16:08,1,7,7.75
3,18,8:15,58,1,5w69,9/26/17,32,A7,fly,16:08,1,7,8
3,18,8:30,11,1,5w69,9/26/17,32,A7,fly,16:08,1,7,8.25
3,18,8:45,17,1,5w69,9/26/17,32,A7,fly,16:08,1,7,8.5
3,18,9:00,10,1,5w69,9/26/17,32,A7,fly,16:08,1,7,8.75
3,18,9:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,9
3,18,9:30,3,1,5w69,9/26/17,32,A7,fly,16:08,1,7,9.25
3,18,9:45,1,1,5w69,9/26/17,32,A7,fly,16:08,1,7,9.5
3,18,10:00,4,1,5w69,9/26/17,32,A7,fly,16:08,1,7,9.75
3,18,10:15,2,1,5w69,9/26/17,32,A7,fly,16:08,1,7,10
3,18,10:30,2,1,5w69,9/26/17,32,A7,fly,16:08,1,7,10.25
3,18,10:45,11,1,5w69,9/26/17,32,A7,fly,16:08,1,7,10.5
3,18,11:00,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,10.75
3,18,11:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,11
3,18,11:30,20,1,5w69,9/26/17,32,A7,fly,16:08,1,7,11.25
3,18,11:45,13,1,5w69,9/26/17,32,A7,fly,16:08,1,7,11.5
3,18,12:00,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,11.75
3,18,12:15,8,1,5w69,9/26/17,32,A7,fly,16:08,1,7,12
3,18,12:30,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,12.25
3,18,12:45,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,12.5
